date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:48	127/127	---M-Z	200	added ('OK')	text/plain	date:Tue,%2016%20Jul%202024%2007:46:48%20GMT	https://wineandrubs.co.ke/robots.txt		(from )
10:46:49	103237/103237	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2007:46:48%20GMT	https://wineandrubs.co.ke/	/home/victor/websites/massage%20site/wineandrubs.co.ke/index.html	(from )
10:46:50	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2007:46:50%20GMT	http://gmpg.org/xfn/11	/home/victor/websites/massage%20site/gmpg.org/xfn/11.html	(from https://wineandrubs.co.ke/)
10:46:51	232/232	---M--	302	error ('Found')	text/html	date:Tue,%2016%20Jul%202024%2007:46:51%20GMT	http://maps.googleapis.com/	/home/victor/websites/massage%20site/maps.googleapis.com/index.html	(from https://wineandrubs.co.ke/)
10:46:51	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2016%20Jul%202024%2007:46:51%20GMT	http://www.googletagmanager.com/	/home/victor/websites/massage%20site/www.googletagmanager.com/index.html	(from https://wineandrubs.co.ke/)
10:46:51	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jul%202024%2007:46:51%20GMT	http://fonts.googleapis.com/	/home/victor/websites/massage%20site/fonts.googleapis.com/index.html	(from https://wineandrubs.co.ke/)
10:46:53	2963/2963	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Feb%202024%2009:26:55%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce-points-and-rewards/build/style-index.css?ver=1.7.29	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce-points-and-rewards/build/style-indexa1bd.css	(from https://wineandrubs.co.ke/)
10:46:54	10208/10208	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d9645f2c38cb2080c20bd0654340e545%22	https://wineandrubs.co.ke/feed/	/home/victor/websites/massage%20site/wineandrubs.co.ke/feed/index.html	(from https://wineandrubs.co.ke/)
10:46:54	754/754	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fe0f3c8fd7ff541a6d1391c00a1a1095%22	https://wineandrubs.co.ke/comments/feed/	/home/victor/websites/massage%20site/wineandrubs.co.ke/comments/feed/index.html	(from https://wineandrubs.co.ke/)
10:46:54	113381/113381	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202024%2003:23:29%20GMT	https://wineandrubs.co.ke/wp-includes/css/dist/block-library/style.min.css?ver=6.5.5	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-includes/css/dist/block-library/style.minadc6.css	(from https://wineandrubs.co.ke/)
10:46:55	18690/18690	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2013:12:49%20GMT	https://wineandrubs.co.ke/wp-content/plugins/blossomthemes-toolkit/public/css/blossomthemes-toolkit-public.min.css?ver=2.2.6	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/blossomthemes-toolkit/public/css/blossomthemes-toolkit-public.mindbc2.css	(from https://wineandrubs.co.ke/)
10:46:57	1088/1088	---MC-	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2007:46:56%20GMT	https://fonts.googleapis.com/css?family=Lato%3A400%2C500%2C600%2C700%7CPoppins%3A400%2C500%2C600%2C700&ver=2.7.2	/home/victor/websites/massage%20site/fonts.googleapis.com/css0653.css	(from https://wineandrubs.co.ke/)
10:46:58	1747/1747	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Feb%202024%2014:39:57%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woo-mpesa/public/css/wc-kb-mpesa-public.css?ver=1.0.1	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woo-mpesa/public/css/wc-kb-mpesa-publicf269.css	(from https://wineandrubs.co.ke/)
10:47:00	407/407	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2015:53:25%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-icons.min.css?ver=2.14.4	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-icons.mind1e7.css	(from https://wineandrubs.co.ke/)
10:47:00	1287/1287	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Jun%202024%2015:53:25%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/fonts/WPMenuCart.eot	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/fonts/WPMenuCart.eot	(from https://wineandrubs.co.ke/)
10:47:01	1002/1002	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2015:53:25%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-main.min.css?ver=2.14.4	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-main.mind1e7.css	(from https://wineandrubs.co.ke/)
10:47:04	17688/17688	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2015:51:28%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.8.5	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutc484.css	(from https://wineandrubs.co.ke/)
10:47:06	7043/7043	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2015:51:28%20GMT	https://wineandrubs.co.ke/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.8.5	/home/victor/websites/massage%20site/wineandrubs.co.ke/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenc484.css	(from https://wineandrubs.co.ke/)
